txn_key,txn_id,txn_global_id,txn_date_dim_key,txn_amount_eur,txn_original_currency,txn_credit_debit_code,txn_bene_country_key,txn_orig_country_key,acct_key,counterparty_key,acct_currency,acct_open_date_dim_key,acct_close_date_dim_key,product_key,cust_key,link_type,transaction_type_via,insert_date
-1944335972,100001,37457766,122220,1000.0,Dollar,AXC8671,2009651910,2009651910,-396384284,700911348,Dollar,122220,122220,,-396384284,secondary,offline,2022-04-20
1885684306,100002,52611132,122221,5000.0,Dollar,AXC4251,2009651910,2009651910,1048811874,538690200,Dollar,122221,122221,-1656846950.0,-396384284,primary,online,2022-04-20
-217000794,100003,60597020,122222,6000.0,Dollar,AXC9047,651865576,2009651910,864281936,-1682572948,Dollar,122222,122222,1491230339.0,-396384284,primary,online,2022-04-20
867844778,100004,64657747,122223,7000.0,Dollar,AXC9789,-811770541,2009651910,556136777,-957345522,Dollar,122223,122223,,-396384284,secondary,offline,2022-04-20
522697213,100005,77422225,122224,8000.0,Dollar,AXC0217,-1647000595,2009651910,207644007,-1779754841,Dollar,122224,122224,,-396384284,primary,offline,2022-04-20
1030577934,100006,82608215,122225,9000.0,Dollar,AXC1040,2009651910,2009651910,-1494686683,-1220127148,Dollar,122225,122225,1491230339.0,1048811874,secondary,online,2022-04-20
831523407,100007,20537161,122226,1000.0,Dollar,AXC3369,651865576,2009651910,-1391764478,175806444,Dollar,122226,122226,,1048811874,primary,offline,2022-04-20
1104709441,100008,18529763,122227,5000.0,Dollar,AXC4684,2009651910,2009651910,1378281443,-1019063111,Dollar,122227,122227,1491230339.0,1048811874,secondary,online,2022-04-20
-2019767244,100009,17946355,122228,6000.0,Dollar,AXC6996,651865576,2009651910,1838197,936489185,Dollar,122228,122228,-1298298882.0,1048811874,secondary,offline,2022-04-20
2064100050,100010,84938402,122229,125964.0,Dollar,AXC8586,2009651910,2009651910,1915089867,-1019063111,Dollar,122229,122229,-1298298882.0,1048811874,primary,offline,2022-04-20
511438062,100011,95892934,122230,117633.0,Dollar,AXC0376,651865576,651865576,878840179,936489185,Dollar,122230,122230,,864281936,primary,offline,2022-04-20
-444528427,100012,51431609,122231,1000.0,Dollar,AXC8371,2009651910,651865576,324263783,700911348,Dollar,122231,122231,1340448554.0,864281936,primary,online,2022-04-20
156415104,100013,69658896,122232,5000.0,Dollar,AXC7874,2009651910,651865576,1057230190,538690200,Dollar,122232,122232,-1782036132.0,864281936,primary,offline,2022-04-20
-1141426124,100014,78408446,122233,6000.0,Dollar,AXC3340,651865576,651865576,1799814350,-1682572948,Dollar,122233,122233,-1298298882.0,864281936,secondary,offline,2022-04-20
1422583987,100015,10980064,122234,7000.0,Dollar,AXC6283,-811770541,651865576,-1647980495,-957345522,Dollar,122234,122234,,864281936,primary,online,2022-04-20
1961049626,100016,35195864,122235,8000.0,Dollar,AXC7545,-1647000595,-811770541,-1691024193,-1779754841,Dollar,122235,122235,-1656846950.0,556136777,secondary,offline,2022-04-20
610784157,100017,83096069,122236,9000.0,Dollar,AXC9930,2009651910,-811770541,-1687259308,-1220127148,Dollar,122236,122236,-1656846950.0,556136777,primary,online,2022-04-20
636651752,100018,78184318,122237,1000.0,Dollar,AXC5214,651865576,-811770541,1030947570,175806444,Dollar,122237,122237,,556136777,primary,online,2022-04-20
280322985,100019,3883212,122238,5000.0,Dollar,AXC8933,2009651910,-811770541,-1599339180,-1019063111,Dollar,122238,122238,,556136777,primary,online,2022-04-20
419768018,100020,54460297,122239,6000.0,Dollar,AXC7062,651865576,-811770541,1524437916,936489185,Dollar,122239,122239,-1656846950.0,556136777,primary,offline,2022-04-20
152416651,100021,80209222,122240,103766.0,Dollar,AXC7704,-811770541,-1647000595,893792256,-957345522,Dollar,122240,122240,1491230339.0,207644007,secondary,offline,2022-04-20
659217551,100022,55443724,122241,1000.0,Dollar,AXC1146,-1647000595,-1647000595,1742103905,-1779754841,Dollar,122241,122241,,207644007,secondary,offline,2022-04-20
1533373276,100023,54773223,122242,5000.0,Dollar,AXC3562,2009651910,-1647000595,-20905046,-1220127148,Dollar,122242,122242,,207644007,primary,online,2022-04-20
96834436,100024,3330542,122243,6000.0,Dollar,AXC4917,651865576,-1647000595,1170829763,175806444,Dollar,122243,122243,,207644007,primary,offline,2022-04-20
-339291166,100025,19850372,122244,7000.0,Dollar,AXC9191,2009651910,-1647000595,2092478401,700911348,Dollar,122244,122244,1491230339.0,207644007,primary,offline,2022-04-20
1462367974,100026,39771109,122245,8000.0,Dollar,AXC0443,2009651910,2009651910,175441458,538690200,Dollar,122245,122245,-1656846950.0,-1494686683,secondary,offline,2022-04-20
2084290657,100027,25851624,122246,9000.0,Dollar,AXC6355,651865576,2009651910,-1821943649,-1682572948,Dollar,122246,122246,-1782036132.0,-1494686683,primary,offline,2022-04-20
-1639765443,100028,21505070,122247,1000.0,Dollar,AXC8902,-811770541,2009651910,-1373181339,-957345522,Dollar,122247,122247,,-1494686683,secondary,offline,2022-04-20
1220654499,100029,34817077,122248,5000.0,Dollar,AXC6172,-1647000595,2009651910,446024664,-1779754841,Dollar,122248,122248,,-1494686683,primary,online,2022-04-20
149096167,100030,78715381,122249,6000.0,Dollar,AXC7931,2009651910,2009651910,1830711216,-1220127148,Dollar,122249,122249,,-1494686683,secondary,online,2022-04-20
319282263,100031,24087338,122284,178937.0,Dollar,AXC2382,651865576,651865576,1147543614,175806444,Dollar,122284,122284,-1656846950.0,-1391764478,secondary,online,2022-04-20
-140266850,100032,56969190,122285,1000.0,Dollar,AXC9382,2009651910,651865576,62475064,-1019063111,Dollar,122285,122285,-1782036132.0,-1391764478,primary,offline,2022-04-20
609553478,100033,77657795,122286,5000.0,Dollar,AXC6805,651865576,651865576,440406964,936489185,Dollar,122286,122286,,-1391764478,primary,online,2022-04-20
-1805337252,100034,76549202,122287,6000.0,Dollar,AXC4792,2009651910,651865576,1742829416,700911348,Dollar,122287,122287,,-1391764478,primary,online,2022-04-20
-279723391,100035,37898866,122288,7000.0,Dollar,AXC3987,2009651910,651865576,-2103212124,538690200,Dollar,122288,122288,,-1391764478,secondary,offline,2022-04-20
1991020335,100036,68152729,122289,8000.0,Dollar,AXC5335,651865576,2009651910,2072771101,-1682572948,Dollar,122289,122289,,1378281443,secondary,offline,2022-04-20
